qt_d1sbqsiftd,qt_e1sbqsiftd,qt_3iyhzvnitd,qt_xd6evd8dtd
04-9027222,"החבצלת 3, כרמיאל",מכבי,טיפות חלב 🔴
04-9020300,"טמרה,  0",כללית,מרפאות 🟠
04-9017106,"בן עמי 39, עכו",מאוחדת,טיפות חלב 🔴
04-9016300,"עכו, חיים משה שפירא 24",כללית,מרפאות 🟠
04-9007300,"טובא-זנגריה,  0",כללית,מרפאות 🟠
04-8871200,"קרית הטכניון  1, חיפה",הבינלאומי,בנקים 🔵
04-8813200,"החרושת  0, חיפה",הבינלאומי,בנקים 🔵
04-8809500,"קרית ים, אלי כהן 29",כללית,מרפאות 🟠
04-8809200,"קרית ים, הנגב 4",כללית,מרפאות 🟠
04-8807555,"מורשת,  0",כללית,מרפאות 🟠
04-8807535,"נופית, נופית",כללית,טיפות חלב 🔴
04-8800400,"דרך ארץ 39, חריש",לאומית,טיפות חלב 🔴
04-8796200,"רח' ראשי בנין מוחמד פאוזי  0, טמרה",הפועלים,בנקים 🔵
04-8789555,"קרית ביאליק, זבולון 11",כללית,מרפאות 🟠
04-8781222,"קרית מוצקין, שביל מודיעין 4",כללית,מרפאות 🟠
04-8780645,"שד' משה גושן  19, קריית מוצקין",הפועלים,בנקים 🔵
04-8759759,"שד ורבורג 114, חיפה",משרד הבריאות,טיפות חלב 🔴
04-8749451,"משה שרת  6, קריית ים",הפועלים,בנקים 🔵
04-8748200,"דרך עכו  192, קריית ביאליק",הבינלאומי,בנקים 🔵
04-8685200,"בר יהודה  111, חיפה",מסד,בנקים 🔵
04-8684321,"העצמאות  37, קריית אתא",יהב,בנקים 🔵
04-8681407,"פלי""ם  2, חיפה",הפועלים,בנקים 🔵
04-8676687,"קניון עלי מול  0, דאלית אל-כרמל",יהב,בנקים 🔵
04-8658555,"חיפה, חסן שוקרי 5",מאוחדת,מרפאות 🟠
04-8623110,"ארלוזורוב 92, חיפה",משרד הבריאות,טיפות חלב 🔴
04-8622973,"כורי 1, חיפה",משרד הבריאות,טיפות חלב 🔴
04-8621515,"חיפה, ארלוזורוב 11",מאוחדת,מרפאות 🟠
04-8614200,"הרצל  63, חיפה",הבינלאומי,בנקים 🔵
04-8612050,"הנביאים  18, חיפה",הפועלים,בנקים 🔵
04-8606200,"קומוי  1, חיפה",הבינלאומי,בנקים 🔵
04-8571703,"אלמוג 3, טירת כרמל",משרד הבריאות,טיפות חלב 🔴
04-8561888,"חלוצי התעשיה  20, חיפה",הבינלאומי,בנקים 🔵
04-8561300,"פלימן משה, מרכז קסטרא  8, חיפה",הפועלים,בנקים 🔵
04-8526676,"שד' ההסתדרות  271, חיפה",הפועלים,בנקים 🔵
04-8508228,"הרצל  39, טירת כרמל",הפועלים,בנקים 🔵
04-8479050,"העצמאות  37, קריית אתא",הפועלים,בנקים 🔵
04-8471053,"חלוצי התעשיה  3, חיפה",הפועלים,בנקים 🔵
04-8465300,"קרית ביאליק, שדרות וייצמן 65",כללית,מרפאות 🟠
04-8459223,"ד.נ כפר המכבי, רמת יוחנן",כללית,טיפות חלב 🔴
04-8458745,"כפר המכבי, כפר המכבי",כללית,טיפות חלב 🔴
04-8448396,"קבוץ גלויות, קריית אתא",משרד הבריאות,טיפות חלב 🔴
04-8432300,"שפרעם, דאוד סולימאן תלחמי 18",כללית,מרפאות 🟠
04-8430700,"קרית אתא, העצמאות 107",כללית,מרפאות 🟠
04-8430400,"קרית אתא, בן עמי 4",כללית,מרפאות 🟠
04-8417830,"השיירה 46, חיפה",משרד הבריאות,טיפות חלב 🔴
04-8396450,"דאלית אל-כרמל, דאלית אל-כרמל",משרד הבריאות,טיפות חלב 🔴
04-8395511,"דאלית אל-כרמל, דאלית אל-כרמל",משרד הבריאות,טיפות חלב 🔴
04-8393650,"דאלית אל-כרמל,  0",כללית,מרפאות 🟠
04-8391813,"עספיא, עספיא",משרד הבריאות,טיפות חלב 🔴
04-8353359,"שד' הנשיא  111, חיפה",הפועלים,בנקים 🔵
04-8350200,"אלחנן  1, חיפה",הבינלאומי,בנקים 🔵
04-8305081,"חורב  15, חיפה",הפועלים,בנקים 🔵
04-8299400,"נשר, מרדכי בר מוחא 83",כללית,מרפאות 🟠
04-8298454,"טרומפלדור  47, חיפה",הפועלים,בנקים 🔵
04-8280300,"חיפה, מרטין בובר 3",כללית,מרפאות 🟠
04-8233777,"סילבר אבא הלל 8, חיפה",משרד הבריאות,טיפות חלב 🔴
04-8218214,"הורדים 22, נשר",משרד הבריאות,טיפות חלב 🔴
04-8209206,"דרך השלום  17, נשר",הפועלים,בנקים 🔵
04-8148316,"שיבלי, שבלי - אום אל-גנם",משרד הבריאות,טיפות חלב 🔴
04-8141816,"מ.אזורית משגב, מרכז אזורי משגב",מכבי,טיפות חלב 🔴
04-8141300,"חיפה, אל אדריסי 10",כללית,מרפאות 🟠
04-8134200,"נחום חת  1, טירת כרמל",הבינלאומי,בנקים 🔵
04-8130406,"טירת כרמל, אצ''ל 41",כללית,מרפאות 🟠
04-8130400,"טירת כרמל, אצ''ל 41",כללית,מרפאות 🟠
04-8118200,"לסקוב  1, חיפה",הבינלאומי,בנקים 🔵
04-8117500,"בנין מגדלי נצרת , כביש עוקף נצרת  1, נצרת",הפועלים,בנקים 🔵
04-8117222,"חיפה, שדרות מוריה 73",כללית,מרפאות 🟠
04-8117117,"חיפה, סמולנסקין 3",מאוחדת,מרפאות 🟠
04-8109250,"עלי מול (הקניון החדש) כביש עוקף דליה 672  0, דאלית אל-כרמל",הפועלים,בנקים 🔵
04-8108300,"חיפה, המלך דוד 10",כללית,מרפאות 🟠
04-8040383,"נוף הגליל, האדמו''ר מבעלזא 9",כללית,מרפאות 🟠
04-8014200,"חלוצי התעשיה  20, חיפה",הבינלאומי,בנקים 🔵
04-7793200,"רחוב ראשי  0, כפר מנדא",הפועלים,בנקים 🔵
04-7743900,"דרך ארץ 32, חריש",מאוחדת,טיפות חלב 🔴
04-7707346,"חריש, דרך הארץ 53",כללית,מרפאות 🟠
04-6994835,"הגדוד השלישי  39, צפת",הפועלים,בנקים 🔵
04-6994700,"צפת, גיורא יוספטל 1",כללית,מרפאות 🟠
04-6990192,"כפר ריחאניה, ריחאנייה",משרד הבריאות,טיפות חלב 🔴
04-6988119,"ברעם, ברעם",כללית,טיפות חלב 🔴
04-6987898,"מרכז לגיל הרך מרכז איזורי מרום הגליל, מירון",משרד הבריאות,טיפות חלב 🔴
04-6986225,"קדרים, קדרים",כללית,טיפות חלב 🔴
04-6984253,"עין קנייא, עין קנייא",משרד הבריאות,טיפות חלב 🔴
04-6983319,"כפר מסעדה, מסעדה",משרד הבריאות,טיפות חלב 🔴
04-6983183,"מג'דל שמס, מג'דל שמס",משרד הבריאות,טיפות חלב 🔴
04-6981183,"בוקעתה, בוקעאתא",משרד הבריאות,טיפות חלב 🔴
04-6963258,"קדמת צבי, קדמת צבי",כללית,טיפות חלב 🔴
04-6961510,"מרכז מסחרי איתן, קצרין",כללית,טיפות חלב 🔴
04-6960518,"קשת, קשת",כללית,טיפות חלב 🔴
04-6960356,"ד.נ רמת הגולן, יונתן",כללית,טיפות חלב 🔴
04-6960114,"ד.נ רמת הגולן, מרום גולן",כללית,טיפות חלב 🔴
04-6958896,"משעול האקליפטוס 1, ראש פינה",כללית,טיפות חלב 🔴
04-6956278,"ד.נ גליל עליון, הגושרים",כללית,טיפות חלב 🔴
04-6955980,"צומת המצודות, עמית סנטר  0, קריית שמונה",הפועלים,בנקים 🔵
04-6952612,"ד.נ גליל עליון, יפתח",כללית,טיפות חלב 🔴
04-6952538,"שניר, שניר",כללית,טיפות חלב 🔴
04-6946385,"ד.נ גליל עליון, כפר גלעדי",כללית,טיפות חלב 🔴
04-6941653,"שפרינצק 20, קריית שמונה",משרד הבריאות,טיפות חלב 🔴
04-6939124,"גדות, גדות",כללית,טיפות חלב 🔴
04-6937375,"האשחר 2, חצור הגלילית",משרד הבריאות,טיפות חלב 🔴
04-6933777,"ד.נ גליל עליון, מחניים",כללית,טיפות חלב 🔴
04-6932871,"קיבוץ איילת השחר, איילת השחר",כללית,טיפות חלב 🔴
04-6920984,"שכונת כנען, צפת",משרד הבריאות,טיפות חלב 🔴
04-6915570,"ההסתדרות  1, חצור הגלילית",הפועלים,בנקים 🔵
04-6909200,"האגס  0, ראש פינה",הבינלאומי,בנקים 🔵
04-6907555,"ד.נ גליל עליון, כפר סאלד",כללית,טיפות חלב 🔴
04-6895061,"רובע יזרעאל, עפולה",משרד הבריאות,טיפות חלב 🔴
04-6875218,"קניון פריד, אזור התעשיה  0, מג'דל שמס",הפועלים,בנקים 🔵
04-6869222,"חצור הגלילית, בן גוריון 7",כללית,מרפאות 🟠
04-6868312,"ד.נ מרום הגליל, יראון",כללית,טיפות חלב 🔴
04-6868227,"מרכז מסחרי ""סנטר הגליל""  0, ראש פינה",הפועלים,בנקים 🔵
04-6851300,"קצרין, שיאון 0",כללית,מרפאות 🟠
04-6840400,"מירון,  0",כללית,מרפאות 🟠
04-6836200,"שד' תל חי  83, קריית שמונה",הבינלאומי,בנקים 🔵
04-6809800,"יפיע,  0",כללית,מרפאות 🟠
04-6800924,"טובא, טובא-זנגרייה",משרד הבריאות,טיפות חלב 🔴
04-6799215,"ד.נ גליל תחתון, לביא",כללית,טיפות חלב 🔴
04-6799193,"גבעת אבני, גבעת אבני",כללית,טיפות חלב 🔴
04-6798866,"גינוסר, גינוסר",כללית,טיפות חלב 🔴
04-6798488,"הירדן  5, טבריה",הפועלים,בנקים 🔵
04-6796202,"רמת אגוז ש.ד', טבריה",משרד הבריאות,טיפות חלב 🔴
04-6793879,"ד.נ גליל תחתון, ארבל",כללית,טיפות חלב 🔴
04-6793779,"ד.נ גליל תחתון, הזורעים",כללית,טיפות חלב 🔴
04-6788700,"מגאר, מג'אר מערבית ",לאומית,מרפאות 🟠
04-6788200,"כביש טבריה מג'אר  0, מגאר",הפועלים,בנקים 🔵
04-6784814,"ד.נ גליל תחתון, מסד",כללית,טיפות חלב 🔴
04-6784729,"מצפה נטופה, ד.נ.גליל תחתון ",לאומית,מרפאות 🟠
04-6784630,"מג'אר, מגאר",משרד הבריאות,טיפות חלב 🔴
04-6783430,"ואדי סלאמה, סלמה",משרד הבריאות,טיפות חלב 🔴
04-6783265,"מג'אר, מגאר",משרד הבריאות,טיפות חלב 🔴
04-6783224,"דיר חנא, דייר חנא",משרד הבריאות,טיפות חלב 🔴
04-6781059,"מג'אר, מגאר",משרד הבריאות,טיפות חלב 🔴
04-6780616,"דיר חנא, דייר חנא",משרד הבריאות,טיפות חלב 🔴
04-6780249,"מג'אר, מגאר",משרד הבריאות,טיפות חלב 🔴
04-6770409,"ד.נ גליל תחתון, עין דור",כללית,טיפות חלב 🔴
04-6769237,"אום אל גאנם, שבלי - אום אל-גנם",משרד הבריאות,טיפות חלב 🔴
04-6768807,"גזית, גזית",כללית,טיפות חלב 🔴
04-6766868,"נורית 1, כפר תבור",משרד הבריאות,טיפות חלב 🔴
04-6766110,"ד.נ גליל תחתון, אילנייה",כללית,טיפות חלב 🔴
04-6765317,"ד.נ גליל תחתון, כפר קיש",כללית,טיפות חלב 🔴
04-6763170,"ד.נ רמת הגולן, חספין",כללית,טיפות חלב 🔴
04-6762017,"בני יהודה, בני יהודה",כללית,טיפות חלב 🔴
04-6760104,"שדה אילן, שדה אילן",כללית,טיפות חלב 🔴
04-6758777,"ד.נ עמק הירדן, גשר",כללית,טיפות חלב 🔴
04-6750802,"ד.נ גליל תחתון, אלומות",כללית,טיפות חלב 🔴
04-6749852,"עראבה, עראבה",משרד הבריאות,טיפות חלב 🔴
04-6744184,"עראבה, עראבה",משרד הבריאות,טיפות חלב 🔴
04-6743551,"סחנין, סח'נין",משרד הבריאות,טיפות חלב 🔴
04-6743028,"סחנין, סח'נין",משרד הבריאות,טיפות חלב 🔴
04-6742650,"עראבה, עראבה",משרד הבריאות,טיפות חלב 🔴
04-6742122,"עראבה,  0",כללית,מרפאות 🟠
04-6741801,"סח'נין,  0",מאוחדת,מרפאות 🟠
04-6741371,"עראבה,  ",לאומית,מרפאות 🟠
04-6741103,"סחנין, סח'נין",משרד הבריאות,טיפות חלב 🔴
04-6730984,"בועיינה-נוג'ידאת, בועיינה-נוג'ידאת",משרד הבריאות,טיפות חלב 🔴
04-6729403,"טבריה, החשמונאים 1",כללית,מרפאות 🟠
04-6727000,"טבריה, בן זכאי ",לאומית,מרפאות 🟠
04-6715184,"ואדי חמאם, חמאם",משרד הבריאות,טיפות חלב 🔴
04-6711700,"טבריה, אלחדיף 62",מאוחדת,מרפאות 🟠
04-6700200,"ככר רבין (רסקו)  1, טבריה",הבינלאומי,בנקים 🔵
04-6679222,"טבריה, הנשיא וייצמן 1",כללית,מרפאות 🟠
04-6675433,"החרוב 62, עתלית",כללית,טיפות חלב 🔴
04-6659226,"מרכז מסחרי חדש ""נוף גולן""  0, בני יהודה",הפועלים,בנקים 🔵
04-6658105,"ד.נ עמק הירדן 14940, עין גב",כללית,טיפות חלב 🔴
04-6657000,"גבעת אבני,  0",כללית,מרפאות 🟠
04-6656222,"עמק השלום 8, יקנעם עילית",כללית,טיפות חלב 🔴
04-6656200,"יקנעם עילית, עמק השלום 8",כללית,מרפאות 🟠
04-6655300,"ד.נ בית שאן, מסדה",כללית,טיפות חלב 🔴
04-6655300,"מסדה,  0",כללית,מרפאות 🟠
04-6646600,"חספין,  0",כללית,מרפאות 🟠
04-6642200,"שד' רבין  9, יקנעם עילית",הבינלאומי,בנקים 🔵
04-6641110,"סלמה,  0",כללית,מרפאות 🟠
04-6641030,"עמקה,  0",כללית,מרפאות 🟠
04-6641025,"רכסים, סביון 40",כללית,מרפאות 🟠
04-6638800,"מגאר,  0",כללית,מרפאות 🟠
04-6627228,"מרכז מסחרי  0, כפר תבור",הפועלים,בנקים 🔵
04-6620114,"טמרה, טמרה (יזרעאל)",משרד הבריאות,טיפות חלב 🔴
04-6605515,"סמוך למבנה שרותי בריאות כללית, יסוד המעלה",כללית,טיפות חלב 🔴
04-6605500,"בני יהודה,  0",כללית,מרפאות 🟠
04-6598800,"ד.נ יזרעאל, מרחביה (קיבוץ)",כללית,טיפות חלב 🔴
04-6598000,"ד.נ יזרעאל, יזרעאל",כללית,טיפות חלב 🔴
04-6596887,"גבעת המורה, שכונת דרוקר, עפולה",משרד הבריאות,טיפות חלב 🔴
04-6591871,"תל עדשים, תל עדשים",כללית,טיפות חלב 🔴
04-6591491,"ד.נ גלבוע, ניר יפה",כללית,טיפות חלב 🔴
04-6577003,"ריינה, ריינה",משרד הבריאות,טיפות חלב 🔴
04-6576784,"נרקיסים 14, נוף הגליל",משרד הבריאות,טיפות חלב 🔴
04-6564637,"שושנים, נוף הגליל",משרד הבריאות,טיפות חלב 🔴
04-6561450,"אכסאל, אכסאל",משרד הבריאות,טיפות חלב 🔴
04-6558444,"ד.נ כפר החורש, כפר החורש",כללית,טיפות חלב 🔴
04-6557785,"חרוד  7, נוף הגליל",הפועלים,בנקים 🔵
04-6557110,"גן נר,  0",כללית,מרפאות 🟠
04-6549807,"גבת, גבת",כללית,טיפות חלב 🔴
04-6549104,"ד.נ עמק יזרעאל, גיניגר",כללית,טיפות חלב 🔴
04-6549000,"דואר נהלל, רמת דוד",כללית,טיפות חלב 🔴
04-6548983,"ד.נ עמק יזרעאל, יפעת",כללית,טיפות חלב 🔴
04-6546264,"ד.נ גלבוע, שריד",כללית,טיפות חלב 🔴
04-6542663,"תמרת, תמרת",כללית,טיפות חלב 🔴
04-6539155,"ד.נ גלבוע, מירב",כללית,טיפות חלב 🔴
04-6536788,"דואר בית השיטה, בית השיטה",כללית,טיפות חלב 🔴
04-6535773,"גבע, גבע",כללית,טיפות חלב 🔴
04-6534952,"מצדה, תל יוסף",כללית,טיפות חלב 🔴
04-6534100,"ד.נ גלבוע, חפצי-בה",כללית,טיפות חלב 🔴
04-6533900,"ד.נ גלבוע, בית אלפא",כללית,טיפות חלב 🔴
04-6532340,"ד.נ גלבוע, רמת צבי",כללית,טיפות חלב 🔴
04-6532294,"ד.נ גלבוע, מולדת",כללית,טיפות חלב 🔴
04-6531876,"ד.נ גלבוע, כפר יחזקאל",כללית,טיפות חלב 🔴
04-6527615,"וולפסון 22, עפולה",משרד הבריאות,טיפות חלב 🔴
04-6525742,"ד.נ מגידו, מגידו",כללית,טיפות חלב 🔴
04-6524888,"גבעת עוז, גבעת עוז",כללית,טיפות חלב 🔴
04-6524615,"הפרסה  1, עפולה",הפועלים,בנקים 🔵
04-6520200,"חטיבה 9  23, עפולה",הבינלאומי,בנקים 🔵
04-6519510,"משהד, משהד",משרד הבריאות,טיפות חלב 🔴
04-6517808,"שכ' אלמנאשר, טורעאן",משרד הבריאות,טיפות חלב 🔴
04-6517587,"עוזייר, עוזייר",משרד הבריאות,טיפות חלב 🔴
04-6517277,"שכונה צפונית ליד שוק אלמג'ד, כפר כנא",משרד הבריאות,טיפות חלב 🔴
04-6515683,"זרזיר, זרזיר",משרד הבריאות,טיפות חלב 🔴
04-6515155,"גבעת אלה, גבעת אלה",כללית,טיפות חלב 🔴
04-6515012,"ד.נ עמק יזרעאל, נהלל",כללית,טיפות חלב 🔴
04-6509640,"ד.נ גליל תחתון, בית רימון",כללית,טיפות חלב 🔴
04-6509111,"עוקף נצרת  83, נצרת",מסד,בנקים 🔵
04-6499379,"דבורה, דבורה",כללית,טיפות חלב 🔴
04-6490467,"שדה יצחק 1, עפולה",משרד הבריאות,טיפות חלב 🔴
04-6489320,"בית שאן, ירושלים הבירה 9",כללית,מרפאות 🟠
04-6489070,"ירושלים הבירה  13, בית שאן",הפועלים,בנקים 🔵
04-6488909,"ד.נ בית שאן, ניר דוד (תל עמל)",כללית,טיפות חלב 🔴
04-6487200,"עפולה, בני ישראל 6",כללית,מרפאות 🟠
04-6486716,"דואר עין חרוד, עין חרוד (איחוד)",כללית,טיפות חלב 🔴
04-6485310,"דואר עין חרוד, עין חרוד (מאוחד)",כללית,טיפות חלב 🔴
04-6481180,"שאול המלך 61, בית שאן",מכבי,טיפות חלב 🔴
04-6480115,"ד.נ בית שאן, מחולה",כללית,טיפות חלב 🔴
04-6477300,"פאולוס השישי  701, נצרת",הפועלים,בנקים 🔵
04-6477100,"הפרסה  1, עפולה",הפועלים,בנקים 🔵
04-6470884,"עין מאהל, שכ' אלמווארס - סמוך למועצה הישנה, עין מאהל",משרד הבריאות,טיפות חלב 🔴
04-6470645,"ריינה, רח' חי בילאל, ריינה",משרד הבריאות,טיפות חלב 🔴
04-6469005,"ריינה, ריינה",משרד הבריאות,טיפות חלב 🔴
04-6464460,"ד.נ גליל תחתון, ציפורי",כללית,טיפות חלב 🔴
04-6461702,"עילוט, עילוט",משרד הבריאות,טיפות חלב 🔴
04-6458555,"נוף הגליל, דרך החטיבות 8",כללית,מרפאות 🟠
04-6455537,"עין מאהל, שכ' אלביאדר - בסוף הכפר, עין מאהל",משרד הבריאות,טיפות חלב 🔴
04-6452262,"הושעיה, הושעיה",כללית,טיפות חלב 🔴
04-6450979,"עדעד 18, נוף הגליל",משרד הבריאות,טיפות חלב 🔴
04-6448055,"דרך העמק  7, מגדל העמק",הפועלים,בנקים 🔵
04-6447070,"מגדל העמק, האלה 2",כללית,מרפאות 🟠
04-6447065,"מג'ד אל-כרום, מג'ד אל-כרום",משרד הבריאות,טיפות חלב 🔴
04-6446600,"צפת, ""צה""""ל"" 13",לאומית,מרפאות 🟠
04-6443808,"מגדל העמק, מגדל העמק",משרד הבריאות,טיפות חלב 🔴
04-6443808,"האיריס 5, מגדל העמק",כללית,טיפות חלב 🔴
04-6438806,"סחנין, סח'נין",משרד הבריאות,טיפות חלב 🔴
04-6437622,"שלומי, הרב עוזיאל 28",כללית,מרפאות 🟠
04-6434431,"בית ג'אן, בית ג'ן",משרד הבריאות,טיפות חלב 🔴
04-6434317,"נווה עובד, פורייה - נווה עובד",משרד הבריאות,טיפות חלב 🔴
04-6434027,"מרכז בריאות, קריית שמונה",משרד הבריאות,טיפות חלב 🔴
04-6432446,"שכונת פואר שפרעם, שפרעם",משרד הבריאות,טיפות חלב 🔴
04-6429809,"מזרע, מזרע",כללית,טיפות חלב 🔴
04-6428700,"אכסאל,  0",כללית,מרפאות 🟠
04-6421420,"אחוזת ברק, אחוזת ברק",כללית,טיפות חלב 🔴
04-6420737,"זלפה, מעלה עירון",משרד הבריאות,טיפות חלב 🔴
04-6420289,"סולם, סולם",משרד הבריאות,טיפות חלב 🔴
04-6419167,"כפר כנא צפונית - סמוך לתחנת דלק פז, כפר כנא",משרד הבריאות,טיפות חלב 🔴
04-6415120,"מנשית זבדה, מנשית זבדה",משרד הבריאות,טיפות חלב 🔴
04-6412470,"רומת הייב - פרוש, רומת הייב",משרד הבריאות,טיפות חלב 🔴
04-6411826,"רומאנה, רומאנה",משרד הבריאות,טיפות חלב 🔴
04-6411782,"כפר כנא, שכ' ג'בל חוויחה - סמוך למסגד, כפר כנא",משרד הבריאות,טיפות חלב 🔴
04-6411451,"שכ' אלסראר טורעאן 2188, טורעאן",משרד הבריאות,טיפות חלב 🔴
04-6409500,"עפולה, קפלן 3",כללית,מרפאות 🟠
04-6407385,"מוקייבלה, מוקייבלה",משרד הבריאות,טיפות חלב 🔴
04-6406511,"הסוללים, הסוללים",כללית,טיפות חלב 🔴
04-6401416,"צנדלה, צנדלה",משרד הבריאות,טיפות חלב 🔴
04-6400483,"ד.נ גלבוע, גן נר",כללית,טיפות חלב 🔴
04-6399582,"ד.נ מנשה, מעגן מיכאל",כללית,טיפות חלב 🔴
04-6399158,"קבוץ גלויות 12, זכרון יעקב",משרד הבריאות,טיפות חלב 🔴
04-6393580,"המייסדים  49, זכרון יעקב",הפועלים,בנקים 🔵
04-6387142,"ברקאי, ברקאי",כללית,טיפות חלב 🔴
04-6387000,"ד.נ מנשה, מצר",כללית,טיפות חלב 🔴
04-6382632,"אלג'זאלי, באקה אל-גרביה",משרד הבריאות,טיפות חלב 🔴
04-6382102,"באקה אל גרביה-אלמוארס, באקה אל-גרביה",משרד הבריאות,טיפות חלב 🔴
04-6369525,"גבעת חיים (איחוד), גבעת חיים (איחוד)",כללית,טיפות חלב 🔴
04-6365965,"ד.נ מנשה, מגל",כללית,טיפות חלב 🔴
04-6365431,"ד.נ עמק חפר, כפר הרא""ה",כללית,טיפות חלב 🔴
04-6364370,"שדות ים, שדות ים",כללית,טיפות חלב 🔴
04-6361901,"עומר בן אלכטאב 15, ג'סר א-זרקא",משרד הבריאות,טיפות חלב 🔴
04-6358076,"קרע, כפר קרע",משרד הבריאות,טיפות חלב 🔴
04-6352756,"כפר קרע,  0",כללית,מרפאות 🟠
04-6351858,"מועאוויה , בסמ""ה",משרד הבריאות,טיפות חלב 🔴
04-6351106,"ערערה, ערערה",משרד הבריאות,טיפות חלב 🔴
04-6351048,"ד.נ מנשה, מי עמי",כללית,טיפות חלב 🔴
04-6340228,"כפר קרע  0, כפר קרע",הפועלים,בנקים 🔵
04-6337867,"מבצע עזרא 1, חדרה",משרד הבריאות,טיפות חלב 🔴
04-6334433,"נעמי שמר 2, חדרה",משרד הבריאות,טיפות חלב 🔴
04-6329583,"הרברט סמואל  85, חדרה",הפועלים,בנקים 🔵
04-6327000,"חדרה, גמלא 3",כללית,מרפאות 🟠
04-6320003,"ד.נ חפר, גן שמואל",כללית,טיפות חלב 🔴
04-6316730,"עין אברהים, אום אל-פחם",משרד הבריאות,טיפות חלב 🔴
04-6315639,"דבוריה, דבורייה",משרד הבריאות,טיפות חלב 🔴
04-6313938,"שכונת אלביר, אום אל-פחם",משרד הבריאות,טיפות חלב 🔴
04-6311954,"אומשרפה מעלה עירון, מעלה עירון",משרד הבריאות,טיפות חלב 🔴
04-6311384,"מוסמוס, מעלה עירון",משרד הבריאות,טיפות חלב 🔴
04-6302225,"מתחם SEVEN  1, אום אל-פחם",מסד,בנקים 🔵
04-6299200,"פוריידיס,  0",כללית,מרפאות 🟠
04-6279067,"שד' הדקלים, ככר הנשיא  1, פרדס חנה-כרכור",הפועלים,בנקים 🔵
04-6268201,"השיקמים  8, אור עקיבא",הפועלים,בנקים 🔵
04-62535995,"קציר, קציר",כללית,טיפות חלב 🔴
04-6253296,"ברטעה, בסמ""ה",משרד הבריאות,טיפות חלב 🔴
04-6243000,"זכרון יעקב, הדגן 2",כללית,מרפאות 🟠
04-6240200,"הלל יפה  22, חדרה",הבינלאומי,בנקים 🔵
04-6240000,"חדרה, תרנ""א  20",מאוחדת,מרפאות 🟠
04-6239888,"פרדס חנה-כרכור, הדקלים 99",מאוחדת,מרפאות 🟠
04-6199227,"הנשיא ויצמן  190, באקה אל-גרביה",הפועלים,בנקים 🔵
04-6191155,"סח'נין, אלגליל 0",כללית,מרפאות 🟠
04-6190200,"באקה אל-גרביה,  0",כללית,מרפאות 🟠
04-6189400,"רחוב ראשי פינת רחוב הגליל  0, סח'נין",הפועלים,בנקים 🔵
04-6182222,"המייסדים  8, בנימינה-גבעת עדה",הפועלים,בנקים 🔵
04-6168600,"צפת, צה'ל 13",מאוחדת,מרפאות 🟠
04-6168400,"רחוב ראשי  81, כפר כנא",הפועלים,בנקים 🔵
04-6164950,"זויתן 128, קצרין",מכבי,טיפות חלב 🔴
04-6164310,"דרך ארץ 52, חריש",מכבי,טיפות חלב 🔴
04-6145200,"דרך הבנים  17, פרדס חנה-כרכור",הבינלאומי,בנקים 🔵
04-6141800,"מגדל העמק, שדרות שאול עמור 77",כללית,מרפאות 🟠
04-6141800,"האלה 2, מגדל העמק",כללית,טיפות חלב 🔴
04-6141790,"אום אל-פחם, אל קודס 0",כללית,מרפאות 🟠
04-6141780,"להבות חביבה,  0",כללית,מרפאות 🟠
04-6126600,"חדרה, שד רוטשילד 66",לאומית,מרפאות 🟠
04-6124200,"חדרה, הלל יפה 11",כללית,מרפאות 🟠
04-6123333,"נצרת, לא ידוע לא ידוע",מאוחדת,מרפאות 🟠
04-6121600,"באקה אל-גרביה,  0",כללית,מרפאות 🟠
04-6114183,"עין ג'ארר, אום אל-פחם",משרד הבריאות,טיפות חלב 🔴
04-6112303,"שכונת מחאג'נה, אום אל-פחם",משרד הבריאות,טיפות חלב 🔴
04-6102400,"ג'סר א-זרקא,  0",כללית,מרפאות 🟠
04-6102111,"אור עקיבא, רוטשילד 4",כללית,מרפאות 🟠
04-6098228,"מרכז מסחרי קפלן  1, עפולה",הפועלים,בנקים 🔵
04-6096500,"שדה אליהו, שדה אליהו",כללית,טיפות חלב 🔴
04-6093600,"ניר יפה,  0",כללית,מרפאות 🟠
04-6078923,"טירת צבי, טירת צבי",כללית,טיפות חלב 🔴
04-6070212,"מרכז קליטה, בית אלפא",משרד הבריאות,טיפות חלב 🔴
04-6070069,"טייבה(בעמק), טייבה (בעמק)",משרד הבריאות,טיפות חלב 🔴
04-6068201,"ד.נ בית שאן, כפר רופין",כללית,טיפות חלב 🔴
04-6067506,"ד.נ גלבוע, מעלה גלבוע",כללית,טיפות חלב 🔴
04-6066400,"ד.נ מנשה, מסילות",כללית,טיפות חלב 🔴
04-6065133,"ד.נ גליל תחתון, רשפים",כללית,טיפות חלב 🔴
04-6062907,"ד.נ בית שאן, עין הנצי""ב",כללית,טיפות חלב 🔴
04-6062121,"שלוחות, שלוחות",כללית,טיפות חלב 🔴
04-6061300,"בית שאן, חומה ומגדל 1",כללית,מרפאות 🟠
04-6061200,"שכונת אליהו, בית שאן",כללית,טיפות חלב 🔴
04-6057300,"רחוב ראשי (כביש 75)  0, יפיע",הפועלים,בנקים 🔵
04-6057200,"רחוב ראשי שכונת אלעין  0, שפרעם",מסד,בנקים 🔵
04-6036600,"נצרת, סלאם 16",לאומית,מרפאות 🟠
