qt_p9hh25phtd,qt_xs4phvphtd,qt_ys4phvphtd,qt_h8phm6rhtd,qt_oldnq6rhtd
076-8041900  tel:0768041900,"הנדיב  13, זכרון יעקב, ישראל",מזרחי זיכרון יעקב,בנקים,6
076-8041850  tel:0768041850,"Hagalil  217, סח'נין, ישראל",מזרחי סחנין,בנקים,6
076-8041820  tel:0768041820,"התמר  2, יקנעם עילית, ישראל",מזרחי יוקנעם,בנקים,6
076-8041810  tel:0768041810,"סולטאן באשא אלאטרש  1, שפרעם, ישראל",מזרחי שפרעם,בנקים,6
076-8041770  tel:0768041770,"אבא הילל סילבר  13, לוד, ישראל",מזרחי שביט,בנקים,6
076-8041760  tel:0768041760,"אבא הלל סילבר  13, לוד, ישראל",מזרחי ברק,בנקים,6
076-8041740  tel:0768041740,"אבא הלל סילבר  13, לוד, ישראל",מזרחי שגב,בנקים,6
076-8041730  tel:0768041730,"אבא הלל סילבר  13, לוד, ישראל",מזרחי שחק,בנקים,6
076-8041720  tel:0768041720,"אבא הלל סילבר  13, לוד, ישראל",מזרחי אופק,בנקים,6
076-8041710  tel:0768041710,"אבא הלל סילבר  13, לוד, ישראל",מזרחי עתיד,בנקים,6
076-8041700  tel:0768041700,"אהרונוביץ  12, בני ברק, ישראל",מזרחי רימונים,בנקים,6
076-8041690  tel:0768041690,"פארן ,  5, ירושלים, ישראל","מזרחי רמת אשכול, י-ם",בנקים,6
076-8041670  tel:0768041670,"יגאל אלון  6, בית שמש, ישראל",מזרחי בית שמש,בנקים,6
076-8041660  tel:0768041660,"דרך מצדה  6, באר שבע, ישראל",מזרחי מצדה,בנקים,6
076-8041650  tel:0768041650,"שד' ירושלים  12, אשדוד, ישראל",מזרחי אשדוד סיטי,בנקים,6
076-8041630  tel:0768041630,"גולדה מאיר  255, ירושלים, ישראל",מזרחי רמות ירושלים,בנקים,6
076-8041620  tel:0768041620,"רח' העליה ב'  4, צפת, ישראל",מזרחי צפת,בנקים,6
076-8041600  tel:0768041600,"מרכז מסחרי שו""פ  1, נוף הגליל, ישראל",מזרחי נוף הגליל(נ.עלית),בנקים,6
076-8041590  tel:0768041590,"הגליל  22, נצרת, ישראל",מזרחי נצרת,בנקים,6
076-8041580  tel:0768041580,"שלמה שרירא  3, מעלות-תרשיחא, ישראל",מזרחי מעלות,בנקים,6
076-8041570  tel:0768041570,"יגאל אלון  94, תל אביב -יפו, ישראל",מזרחי יגאל אלון,בנקים,6
076-8041550  tel:0768041550,"סוקולוב  48, חולון, ישראל","מזרחי קוגל,חולון",בנקים,6
076-8041540  tel:0768041540,"יוחנן הסנדלר  2, בת ים, ישראל",מזרחי פארק הים,בנקים,6
076-8041520  tel:0768041520,"שד' שאול עמור  77, מגדל העמק, ישראל",מזרחי מגדל  העמק,בנקים,6
076-8041510  tel:0768041510,"מנחם בגין  146, תל אביב -יפו, ישראל","מזרחי מידטאון ת""א",בנקים,6
076-8041500  tel:0768041500,"בר כוכבא  20, פתח תקווה, ישראל",מזרחי לב העיר פתח תקווה,בנקים,6
076-8041490  tel:0768041490,"אלקודס  1, באקה אל-גרביה, ישראל",מזרחי באקה אל גרביה,בנקים,6
076-8041460  tel:0768041460,"אבא הלל סילבר  13, לוד, ישראל","מזרחי מט""ל לוד",בנקים,6
076-8041440  tel:0768041440,"קק""ל  130, באר שבע, ישראל","מזרחי קק""ל",בנקים,6
076-8041430  tel:0768041430,"שבזי  55, ראש העין, ישראל",מזרחי ראש העין,בנקים,6
076-8041400  tel:0768041400,"הדוגית  16, יבנה, ישראל",מזרחי יבנה,בנקים,6
076-8041390  tel:0768041390,"כנפי נשרים  7, ירושלים, ישראל",מזרחי כנפי נשרים,בנקים,6
076-8041380  tel:0768041380,"די סנטר  1, כפר יאסיף, ישראל",מזרחי כפר יאסיף,בנקים,6
076-8041370  tel:0768041370,"מרכז מסחרי  1, אום אל-פחם, ישראל",מזרחי אום אל פחם,בנקים,6
076-8041340  tel:0768041340,"חיים לנדאו  6, רמת גן, ישראל",מזרחי מרום נווה,בנקים,6
076-8041320  tel:0768041320,"המדע  6, רחובות, ישראל",מזרחי פארק המדע רחובות,בנקים,6
076-8041300  tel:0768041300,"שד' מנם בגין  38, גבעת שמואל, ישראל",מזרחי גבעת שמואל,בנקים,6
076-8041290  tel:0768041290,"רחוב מורשת ישראל  15, ראשון לציון, ישראל",מזרחי קניון הבאר,בנקים,6
076-8041280  tel:0768041280,"הברזל  26, תל אביב -יפו, ישראל",מזרחי קרית עתידים,בנקים,6
076-8041260  tel:0768041260,"ויצמן  61, כפר סבא, ישראל",מזרחי ערים,בנקים,6
076-8041250  tel:0768041250,"דרך משה דיין  3, יהוד-מונוסון, ישראל",מזרחי סביונים,בנקים,6
076-8041230  tel:0768041230,"דרך בר יהודה  63, נשר, ישראל",מזרחי נשר,בנקים,6
076-8041220  tel:0768041220,"אבא אבן  12, הרצלייה, ישראל",מזרחי הרצליה פיתוח,בנקים,6
076-8041210  tel:0768041210,"לב העיר  2, מודיעין-מכבים-רעות, ישראל",מזרחי מודיעין,בנקים,6
076-8041200  tel:0768041200,"הלני המלכה  9, ירושלים, ישראל",מזרחי מרכז בנקאות פרטית בינלאומית י-ם,בנקים,6
076-8041190  tel:0768041190,"יגיע כפיים  17, פתח תקווה, ישראל",מזרחי קרית אריה,בנקים,6
076-8041180  tel:0768041180,"דרך עכו  194, קריית ביאליק, ישראל",מזרחי קריון,בנקים,6
076-8041170  tel:0768041170,"יד חרוצים  19, ירושלים, ישראל",מזרחי תלפיות,בנקים,6
076-8041150  tel:0768041150,"בן גוריון  13, בני ברק, ישראל",מזרחי מגדלי קונקורד,בנקים,6
076-8041140  tel:0768041140,"דרך העצמאות  16, יהוד-מונוסון, ישראל",מזרחי יהוד,בנקים,6
076-8041130  tel:0768041130,"החרושת  9, כרמיאל, ישראל",מזרחי כרמיאל,בנקים,6
076-8041120  tel:0768041120,"דרך רמתיים  108, הוד השרון, ישראל","מזרחי רמתיים, הוד השרון",בנקים,6
076-8041110  tel:0768041110,"הבנים  5, נס ציונה, ישראל",מזרחי נס ציונה,בנקים,6
076-8041050  tel:0768041050,"נחום חת  1, טירת כרמל, ישראל","מזרחי מת""מ חיפה",בנקים,6
076-8041020  tel:0768041020,"שד' ירושלים  12, אשדוד, ישראל",מזרחי מרכז בנקאות פרטית  בינלאומית אשדוד,בנקים,6
076-8040950  tel:0768040950,"משה לוי  11, ראשון לציון, ישראל","מזרחי א""ת ראשל""צ",בנקים,6
076-8040940  tel:0768040940,"החשמונאים  123, תל אביב -יפו, ישראל",מזרחי מ. עסקים חשמונאים,בנקים,6
076-8040930  tel:0768040930,"טאגור  38, תל אביב -יפו, ישראל",מזרחי רמת אביב,בנקים,6
076-8040920  tel:0768040920,"טרומפלדור  54, חיפה, ישראל",מזרחי נווה שאנן,בנקים,6
076-8040900  tel:0768040900,"אדמונד דה רוטשילד  8, אשלים, ישראל",מזרחי ברנע אשקלון,בנקים,6
076-8040890  tel:0768040890,"שדרות חן  34, ערד, ישראל",מזרחי ערד,בנקים,6
076-8040870  tel:0768040870,"שדרות תל חי  77, קריית שמונה, ישראל",מזרחי קרית שמונה,בנקים,6
076-8040840  tel:0768040840,"סמטת הפלדה  8, שדרות, ישראל",מזרחי שדרות,בנקים,6
076-8040830  tel:0768040830,"רחבעם זאבי  1, קרני שומרון, ישראל",מזרחי קרני שומרון,בנקים,6
076-8040810  tel:0768040810,"העצמאות  63, פתח תקווה, ישראל",מזרחי כיכר כפר גנים,בנקים,6
076-8040790  tel:0768040790,"שמואל בייט  12, ירושלים, ישראל",מזרחי שערי צדק,בנקים,6
076-8040780  tel:0768040780,"בן יהודה  25, תל אביב -יפו, ישראל","מזרחי מרכז בנקאות פרטית בינלאומית  ת""א",בנקים,6
076-8040770  tel:0768040770,"ז'בוטינסקי  7, רמת גן, ישראל",מזרחי המגדל,בנקים,6
076-8040740  tel:0768040740,"ירושלים  4, עפולה, ישראל",מזרחי עפולה,בנקים,6
076-8040730  tel:0768040730,"הבנים  17, פרדס חנה-כרכור, ישראל",מזרחי פרדס חנה,בנקים,6
076-8040720  tel:0768040720,"סוקולוב  67, רמת השרון, ישראל",מזרחי רמת השרון,בנקים,6
076-8040700  tel:0768040700,"שד' התמרים  1, אילת, ישראל",מזרחי אילת,בנקים,6
076-8040680  tel:0768040680,"חזון איש  13, בני ברק, ישראל",מזרחי חזון איש,בנקים,6
076-8040670  tel:0768040670,"לוי אשכול  113, קריית אונו, ישראל",מזרחי קרית אונו,בנקים,6
076-8040660  tel:0768040660,"ז'בוטינסקי  1, רמת גן, ישראל",מזרחי מרכז עסקים יהלומים,בנקים,6
076-8040630  tel:0768040630,"עלי בן אבי טאלב  1, כפר קאסם, ישראל",מזרחי כפר קאסם,בנקים,6
076-8040620  tel:0768040620,"הבנים  2, טבריה, ישראל",מזרחי טבריה,בנקים,6
076-8040610  tel:0768040610,"אלנבי  105, תל אביב -יפו, ישראל","מזרחי מרכז עסקים ראשי ת""א",בנקים,6
076-8040590  tel:0768040590,"תפארת ישראל  26, ירושלים, ישראל",מזרחי עיר העתיקה,בנקים,6
076-8040580  tel:0768040580,"גבעת שאול  24, ירושלים, ישראל",מזרחי גבעת שאול,בנקים,6
076-8040560  tel:0768040560,"גולדה מאיר  20, דימונה, ישראל",מזרחי דימונה,בנקים,6
076-8040550  tel:0768040550,"ויצמן  65, גבעתיים, ישראל",מזרחי גבעתיים,בנקים,6
076-8040541  tel:0768040541,"זית שמן  2, אפרת, ישראל",מזרחי אפרת,בנקים,6
076-8040530  tel:0768040530,"דיזנגוף  45, תל אביב -יפו, ישראל",מזרחי לב דיזנגוף,בנקים,6
076-8040500  tel:0768040500,"ז'בוטינסקי  22, קריית מלאכי, ישראל",מזרחי קרית מלאכי,בנקים,6
076-8040490  tel:0768040490,"שד' הנשיא  137, חיפה, ישראל",מזרחי כרמל,בנקים,6
076-8040480  tel:0768040480,"זבולון  4, קריית אתא, ישראל",מזרחי קרית אתא,בנקים,6
076-8040460  tel:0768040460,"שד' ירושלים  3, קריית ים, ישראל",מזרחי קרית ים,בנקים,6
076-8040450  tel:0768040450,"בן עמי  47, עכו, ישראל",מזרחי עכו,בנקים,6
076-8040440  tel:0768040440,"פלי""ם  11, חיפה, ישראל",מזרחי מרכז עסקים חיפה,בנקים,6
076-8040430  tel:0768040430,"געתון  27, נהרייה, ישראל",מזרחי נהריה,בנקים,6
076-8040420  tel:0768040420,"מרכז תחנת דלק  1, שלומי, ישראל",מזרחי שלומי,בנקים,6
076-8040410  tel:0768040410,"הנביאים  26, חיפה, ישראל",מזרחי חיפה הדר,בנקים,6
076-8040390  tel:0768040390,"שאול המלך  85, בית שאן, ישראל",מזרחי בית שאן,בנקים,6
076-8040380  tel:0768040380,"שד' ויצמן  1, אור עקיבא, ישראל",מזרחי קניון אורות,בנקים,6
076-8040370  tel:0768040370,"הרצל פינת רח' קדש  32, אופקים, ישראל",מזרחי אופקים,בנקים,6
076-8040350  tel:0768040350,"הרצל  73, ראשון לציון, ישראל",מזרחי ראשון לציון,בנקים,6
076-8040340  tel:0768040340,"הרצל  35, רחובות, ישראל",מזרחי רחובות,בנקים,6
076-8040330  tel:0768040330,"שד' לכיש  11, קריית גת, ישראל",מזרחי קרית גת,בנקים,6
076-8040320  tel:0768040320,"דני מס  16, רמלה, ישראל",מזרחי רמלה,בנקים,6
076-8040310  tel:0768040310,"יצחק רבין  1, פתח תקווה, ישראל",מזרחי גלובל טאוורס,בנקים,6
076-8040300  tel:0768040300,"טרפון  1, בני ברק, ישראל",מזרחי מרכז עסקים בני ברק,בנקים,6
076-8040290  tel:0768040290,"גזית  7, פתח תקווה, ישראל","מזרחי מרכז עסקים פ""ת",בנקים,6
076-8040280  tel:0768040280,"המסגר  1, נתיבות, ישראל",מזרחי נתיבות,בנקים,6
076-8040270  tel:0768040270,"כצנלסון  5, אשלים, ישראל",מזרחי אשקלון,בנקים,6
076-8040260  tel:0768040260,"קרן היסוד  31, באר שבע, ישראל",מזרחי מרכז עסקים באר שבע,בנקים,6
076-8040250  tel:0768040250,"בלפור  58, בת ים, ישראל",מזרחי בת ים,בנקים,6
076-8040240  tel:0768040240,"תע""ש  13, כפר סבא, ישראל",מזרחי אזור תעשיה כפר סבא,בנקים,6
076-8040220  tel:0768040220,"מפי  5, נתניה, ישראל",מזרחי מרכז עסקים נתניה,בנקים,6
076-8040210  tel:0768040210,"אבן גבירול  71, תל אביב -יפו, ישראל",מזרחי גן העיר,בנקים,6
076-8040200  tel:0768040200,"הרצל  23, חדרה, ישראל",מזרחי חדרה,בנקים,6
076-8040190  tel:0768040190,"הרוקמים  26, חולון, ישראל",מזרחי פארק עסקים חולון,בנקים,6
076-8040180  tel:0768040180,"התבור  1, נמל תעופה בן-גוריון, ישראל",מזרחי קרית שדה התעופה,בנקים,6
076-8040170  tel:0768040170,"מלכי ישראל  16, ירושלים, ישראל",מזרחי מלכי ישראל,בנקים,6
076-8040160  tel:0768040160,"מקס נורדאו  9, אשדוד, ישראל",מזרחי אשדוד,בנקים,6
076-8040150  tel:0768040150,"סוקולוב  6, הרצלייה, ישראל",מזרחי הרצליה,בנקים,6
076-8040140  tel:0768040140,"אוניברסיטת בר אילן  1, גבעת שמואל, ישראל",מזרחי בר אילן,בנקים,6
076-8040130  tel:0768040130,"ארלוזורוב  1, רמת גן, ישראל",מזרחי רמת גן,בנקים,6
076-8040120  tel:0768040120,"סוקולוב  95, חולון, ישראל",מזרחי חולון,בנקים,6
076-8040110  tel:0768040110,"גולדה מאיר  7, חולון, ישראל",מזרחי קרית אילון,בנקים,6
076-8040100  tel:0768040100,"ויצמן  32, תל אביב -יפו, ישראל",מזרחי כיכר המדינה,בנקים,6
076-8040080  tel:0768040080,"המסגר  35, תל אביב -יפו, ישראל",מזרחי סקיי טאוור,בנקים,6
076-8040030  tel:0768040030,"הלני המלכה  9, ירושלים, ישראל",מזרחי מרכז עסקים י-ם,בנקים,6
076-8040010  tel:0768040010,"שרי ישראל  15, ירושלים, ישראל",מזרחי קרית העסקים ירושלים,בנקים,6
076-8038181  tel:0768038181,"הגפן  1, קרני שומרון, ישראל",לאומי משכנתאות קרני שומרון,בנקים,6
076-8011838  tel:0768011838,"ירושלים  24, בני ברק, ישראל","מזרחי ב""ב רח' ירושלים",בנקים,6
076-8011412  tel:0768011412,"מפי  5, נתניה, ישראל",מזרחי מרכז בנקאות פרטת נתניה,בנקים,6
073-3816650  tel:0733816650,"רמת בית שמש ד'2, בית שמש, ישראל",משרד הבריאות בית תמר,טיפות חלב,5
073-3816622  tel:0733816622,"בקרבת בנק לאומי, מעלה אדומים, ישראל",משרד הבריאות יהלום,טיפות חלב,5
073-3816611  tel:0733816611,"חב""ד 2, ביתר עילית, ישראל",משרד הבריאות הגפן,טיפות חלב,5
073-3816600  tel:0733816600,"הגליל 2, בית שמש, ישראל",משרד הבריאות היובל,טיפות חלב,5
073-3495151  tel:0733495151,"האדמו""ר מבעלזא 5, נוף הגליל, ישראל",משרד הבריאות האירוסים הר יונה,טיפות חלב,5
050-8806322  tel:0508806322,"מושב שקף, שקף, ישראל",מכבי שקף,טיפות חלב,5
050-6622403  tel:0506622403,"ערב אל נעים, ערב אל נעים, ישראל",משרד הבריאות ערב אל נעים,טיפות חלב,5
050-6242575  tel:0506242575,"כמאנה, כמאנה, ישראל",משרד הבריאות כמאנה,טיפות חלב,5
046-8072100  tel:0468072100,"בעלי המלאכה  200, נתיבות, ישראל",מרכנתיל נתיבות,בנקים,6
04-9998872  tel:049998872,"כאוכב, כאוכב אבו אל-היג'א, ישראל",משרד הבריאות כאוכב,טיפות חלב,5
04-9996098  tel:049996098,"כפר יאסיף, כפר יאסיף, ישראל",משרד הבריאות כפר יאסיף א' + ב',טיפות חלב,5
04-9988464  tel:049988464,"בענה, בענה, ישראל",משרד הבריאות בענה,טיפות חלב,5
04-9988084  tel:049988084,"נחף, נחף, ישראל",משרד הבריאות נחף א' + ב',טיפות חלב,5
04-9986430  tel:049986430,"מג'ד אל-כרום,  0, ישראל",כללית מג'דל כרום,מרפאות,2
04-9986184  tel:049986184,"ראמה,  0, ישראל",כללית ראמה,מרפאות,2
04-9981555  tel:049981555,"דייר אל-אסד,  0, ישראל",כללית דיר אל אסד - בענה,מרפאות,2
04-9979950  tel:049979950,"חורפיש, חורפיש, ישראל",משרד הבריאות חורפיש,טיפות חלב,5
04-9979869  tel:049979869,"סמיע, כסרא-סמיע, ישראל",משרד הבריאות סמיע,טיפות חלב,5
04-9979745  tel:049979745,"מעיליא, מעיליא, ישראל",משרד הבריאות מעיליא,טיפות חלב,5
04-9978002  tel:049978002,"פקיעין, פקיעין (בוקייעה), ישראל",משרד הבריאות פקיעין א',טיפות חלב,5
04-9976560  tel:049976560,"יאנוח, יאנוח-ג'ת, ישראל",משרד הבריאות יאנוח,טיפות חלב,5
04-9976486  tel:049976486,"ד.נ מעלה יוסף, עין יעקב, ישראל",כללית עין יעקב,טיפות חלב,5
04-9972781  tel:049972781,"פקיעין, פקיעין (בוקייעה), ישראל",משרד הבריאות פקיעין ב,טיפות חלב,5
04-9971187  tel:049971187,"המרכז המסחרי, כפר ורדים, ישראל",כללית כפר ורדים כללית,טיפות חלב,5
04-9967040  tel:049967040,"ג'דיידה-מכר,  0, ישראל",כללית מכר ג'דיידה,מרפאות,2
04-9966757  tel:049966757,"אבו סנאן, אבו סנאן, ישראל",משרד הבריאות אבו סנאן ד,טיפות חלב,5
04-9966680  tel:049966680,"ד.נ אושרת, עמקה, ישראל",כללית עמקה,טיפות חלב,5
04-9965339  tel:049965339,"אבו סנאן, אבו סנאן, ישראל",משרד הבריאות אבו סנאן א,טיפות חלב,5
04-9965154  tel:049965154,"ירכא,  1, ישראל",מאוחדת כפר ירכא -ישן,מרפאות,2
04-9964520  tel:049964520,"אבו סנאן, אבו סנאן, ישראל",משרד הבריאות אבו סנאן ג,טיפות חלב,5
04-9961188  tel:049961188,"ירכא,  0, ישראל",כללית כפר ירכא,מרפאות,2
04-9960666  tel:049960666,"מעלה הגליל, בית העמק, ישראל",כללית בית העמק,טיפות חלב,5
04-9959266  tel:049959266,"שד' הגעתון  37, נהרייה, ישראל",הפועלים נהריה,בנקים,6
04-9959090  tel:049959090,"שד הגעתון 38, נהרייה, ישראל",כללית נהריה געתון,טיפות חלב,5
04-9958458  tel:049958458,"ד.נ גליל מערבי, גשר הזיו, ישראל",כללית גשר הזיו,טיפות חלב,5
04-9952644  tel:049952644,"ד.נ גליל מערבי, כברי, ישראל",כללית כברי,טיפות חלב,5
04-9951000  tel:049951000,"מעלה כמון, חוצות כרמיאל  5, כרמיאל, ישראל",מסד כרמיאל,בנקים,6
04-9948759  tel:049948759,"טמרה, טמרה, ישראל",משרד הבריאות טמרה ג,טיפות חלב,5
04-9946660  tel:049946660,"כאבול, כאבול, ישראל",משרד הבריאות כאבול א,טיפות חלב,5
04-9943139  tel:049943139,"טמרה, טמרה, ישראל",משרד הבריאות טמרה א' + ה',טיפות חלב,5
04-9941242  tel:049941242,"טמרה, טמרה, ישראל",משרד הבריאות טמרה ו,טיפות חלב,5
04-9940126  tel:049940126,"כאבול, כאבול, ישראל",משרד הבריאות כאבול ב,טיפות חלב,5
04-9936100  tel:049936100,"שד יצחק רבין 9, יקנעם עילית, ישראל",מכבי יקנעם,טיפות חלב,5
04-9933400  tel:049933400,"נהריה, דרך יחיעם 38, ישראל",כללית יוספטל - נהריה,מרפאות,2
04-9922352  tel:049922352,"ההגנה 29, נהרייה, ישראל",כללית עמידר כללית,טיפות חלב,5
04-9921902  tel:049921902,"ויצמן 84, נהרייה, ישראל",משרד הבריאות נהריה וייצמן,טיפות חלב,5
04-9911745  tel:049911745,"שלמה בן-יוסף 8, עכו, ישראל",כללית עכו חומש,טיפות חלב,5
04-9904300  tel:049904300,"כרמיאל, חבצלת 2, ישראל",כללית חבצלת - כרמיאל,מרפאות,2
04-9900785  tel:049900785,"הגליל  6, כרמיאל, ישראל",הפועלים כרמיאל,בנקים,6
04-9900500  tel:049900500,"משעול הרקפות 41, כרמיאל, ישראל",כללית כרמיאל מרכז,טיפות חלב,5
04-9896110  tel:049896110,"ד.נ משמר העמק, משמר העמק, ישראל",כללית משמר העמק,טיפות חלב,5
04-9895229  tel:049895229,"עין השופט, עין השופט, ישראל",כללית עין השופט,טיפות חלב,5
04-9883823  tel:049883823,"שעב,  0, ישראל",כללית כפר שעב,מרפאות,2
04-9883716  tel:049883716,"שעב, שעב, ישראל",משרד הבריאות שעב,טיפות חלב,5
04-9883270  tel:049883270,"החבצלת 2, כרמיאל, ישראל",כללית כרמיאל חבצלת,טיפות חלב,5
04-9883270  tel:049883270,"החבצלת 2, כרמיאל, ישראל",כללית חבצלת,טיפות חלב,5
04-9881056  tel:049881056,"כפר דיר אלאסד, דייר אל-אסד, ישראל",משרד הבריאות דיר אלאסד,טיפות חלב,5
04-9877050  tel:049877050,"בן עמי  6, עכו, ישראל",הפועלים עכו,בנקים,6
04-9873070  tel:049873070,"כסרא, כסרא-סמיע, ישראל",משרד הבריאות כסרא,טיפות חלב,5
04-9870530  tel:049870530,"פסוטה, פסוטה, ישראל",משרד הבריאות פסוטה,טיפות חלב,5
04-9866202  tel:049866202,"ביר אל מקסור, ביר אל-מכסור, ישראל",משרד הבריאות ביר אל מקסור,טיפות חלב,5
04-9866024  tel:049866024,"אעבלין, אעבלין, ישראל",משרד הבריאות אעבלין א,טיפות חלב,5
04-9865345  tel:049865345,"שפרעם, שפרעם, ישראל",משרד הבריאות שפרעם א,טיפות חלב,5
04-9864708  tel:049864708,"כפר מנדא, כפר מנדא, ישראל",משרד הבריאות כפר מנדא ג,טיפות חלב,5
04-9864453  tel:049864453,"כפר מנדא, כפר מנדא, ישראל",משרד הבריאות כפר מנדא א,טיפות חלב,5
04-9863614  tel:049863614,"כפר מנדא, כפר מנדא, ישראל",משרד הבריאות כפר מנדא ב,טיפות חלב,5
04-9861614  tel:049861614,"אלון הגליל, אלון הגליל, ישראל",כללית אלון הגליל,טיפות חלב,5
04-9860969  tel:049860969,"מצפה עדי, עדי, ישראל",כללית מצפה עדי,טיפות חלב,5
04-9859688  tel:049859688,"חניתה, חניתה, ישראל",כללית חניתה,טיפות חלב,5
04-9859113  tel:049859113,"אדמית, אדמית, ישראל",כללית אדמית,טיפות חלב,5
04-9857888  tel:049857888,"ד.נ אושרת, עברון, ישראל",כללית עברון,טיפות חלב,5
04-9855700  tel:049855700,"מרום גולן,  0, ישראל",כללית מרום הגולן - מרפאה איזורית,מרפאות,2
04-9854143  tel:049854143,"ד.נ אושרת, כפר מסריק, ישראל",כללית כפר מסריק,טיפות חלב,5
04-9852222  tel:049852222,"ד.נ אושרת, עין המפרץ, ישראל",כללית עין המפרץ,טיפות חלב,5
04-9851300  tel:049851300,"עכו, יהודה בורלא 42, ישראל",כללית עכו עמידר,מרפאות,2
04-9851300  tel:049851300,"שיכון עמידר, עכו, ישראל",כללית שכון עמידר,טיפות חלב,5
04-9851158  tel:049851158,"דרך הארבעה 41, עכו, ישראל",מכבי עכו מכבי,טיפות חלב,5
04-9849211  tel:049849211,"כפר חסידים ב', כפר חסידים ב', ישראל",מאוחדת רכסים-כפר חסידים,טיפות חלב,5
04-9848119  tel:049848119,"יגור, יגור, ישראל",כללית יגור,טיפות חלב,5
04-9847995  tel:049847995,"הרקפות 7, רכסים, ישראל",מכבי רכסים מכבי,טיפות חלב,5
04-9846511  tel:049846511,"האירוסים 2, רכסים, ישראל",כללית רכסים כללית,טיפות חלב,5
04-9845710  tel:049845710,"ד.נ חוף הכרמל, ניר עציון, ישראל",כללית ניר עציון,טיפות חלב,5
04-9842020  tel:049842020,"עתלית, החרוב 3, ישראל",כללית עתלית,מרפאות,2
04-9840667  tel:049840667,"ד.נ.חוף הכרמל, צרופה, ישראל",כללית צרופה,טיפות חלב,5
04-9839223  tel:049839223,"דואר שער העמקים, שער העמקים, ישראל",כללית שער העמקים,טיפות חלב,5
04-9838111  tel:049838111,"דואר אלונים, אלונים, ישראל",כללית אלונים,טיפות חלב,5
04-9832976  tel:049832976,"החורש 1, קריית טבעון, ישראל",משרד הבריאות קרית טבעון,טיפות חלב,5
04-9831247  tel:049831247,"שדה יעקב, שדה יעקב, ישראל",כללית שדה יעקב,טיפות חלב,5
04-9829231  tel:049829231,"דואר שבי ציון, שבי ציון, ישראל",כללית שבי ציון,טיפות חלב,5
04-9829178  tel:049829178,"מזרעה, מזרעה, ישראל",משרד הבריאות מזרעה,טיפות חלב,5
04-9824236  tel:049824236,"ד.נ גליל מערבי, לימן, ישראל",כללית לימן,טיפות חלב,5
04-9824079  tel:049824079,"יפה נוף 28, נהרייה, ישראל",כללית נהריה אוסישקין,טיפות חלב,5
04-9822712  tel:049822712,"זמנהוף 2, נהרייה, ישראל",כללית נהריה טרומפלדור,טיפות חלב,5
04-9821292  tel:049821292,"השרון 15, נהרייה, ישראל",כללית יוספטל כללית,טיפות חלב,5
04-9820904  tel:049820904,"שייח' דנון, שייח' דנון, ישראל",משרד הבריאות דנון,טיפות חלב,5
04-9813650  tel:049813650,"שפירא 24, עכו, ישראל",כללית עכו קוטב,טיפות חלב,5
04-9807429  tel:049807429,"עראמשה, עראמשה, ישראל",משרד הבריאות עראמשה,טיפות חלב,5
04-9804645  tel:049804645,"הסוסנה, יאנוח-ג'ת, ישראל",משרד הבריאות ג'ת (עכו),טיפות חלב,5
04-9803135  tel:049803135,"בית ג'ן,  0, ישראל",כללית בית ג'אן,מרפאות,2
04-9800180  tel:049800180,"ד.נ משגב, מרכז אזורי משגב, ישראל",כללית משגב כללית,טיפות חלב,5
04-9598055  tel:049598055,"שד' רבין  9, יקנעם עילית, ישראל",הפועלים יקנעם,בנקים,6
04-9589170  tel:049589170,"חטיבת גבעתי 27, כרמיאל, ישראל",כללית כרמיאל רמת רבין,טיפות חלב,5
04-9583250  tel:049583250,"סאג'ור, סאג'ור, ישראל",משרד הבריאות סאג'ור,טיפות חלב,5
04-9578555  tel:049578555,"מעלות-תרשיחא, בן גוריון 4, ישראל",כללית מעלות,מרפאות,2
04-9578555  tel:049578555,"בן גוריון 4, מעלות-תרשיחא, ישראל",כללית מעלות מרכז,טיפות חלב,5
04-9578050  tel:049578050,"שלמה שרירא  קניון צים  3, מעלות-תרשיחא, ישראל",הפועלים מעלות תרשיחא,בנקים,6
04-9573132  tel:049573132,"מרכז מסחרי כפר ורדים, כפר ורדים, ישראל",מכבי כפר ורדים מכבי,טיפות חלב,5
04-9569600  tel:049569600,"ג'דיידה-מכר, מכר , ישראל",לאומית מכר,מרפאות,2
04-9568112  tel:049568112,"כביש ירכא אבו סנאן מתחם של מרכז גיל הרך, ירכא, ישראל",משרד הבריאות ירכא א + ב,טיפות חלב,5
04-9562682  tel:049562682,"ג'וליס, ג'ולס, ישראל",משרד הבריאות ג'וליס,טיפות חלב,5
04-9562572  tel:049562572,"ג'דידה-מכר, ג'דיידה-מכר, ישראל",משרד הבריאות ג'דידה-מכר,טיפות חלב,5
04-9560097  tel:049560097,"כפר יאסיף,  0, ישראל",כללית כפר יאסיף,מרפאות,2
04-9559444  tel:049559444,"עכו, בן עמי 49, ישראל",לאומית עכו ראשי,מרפאות,2
04-9559405  tel:049559405,"בן עמי 49, עכו, ישראל",משרד הבריאות עכו לאומית,טיפות חלב,5
04-9536668  tel:049536668,"כעבייה, כעביה-טבאש-חג'אג'רה, ישראל",משרד הבריאות כעבייה,טיפות חלב,5
04-9534957  tel:049534957,"רמת ישי, רמת ישי, ישראל",כללית רמת ישי,טיפות חלב,5
04-9529400  tel:049529400,"דאלית אל-כרמל,  0, ישראל",מאוחדת דלית אל כרמל,מרפאות,2
