qt_1ipv7riftd,qt_fl5xf47dtd,qt_mjj7cc8dtd,Lego_Geocoding_LatLong
"קריית טבעון, קריית טבעון, יהודה הנשיא 1, ישראל",מרכולים,שופרסל שופרסל אקספרס,"32.715288,35.124644"
"קריית טבעון, קריית טבעון, אלונים 33, ישראל",מרכולים,שופרסל קריית טבעון,"32.716648,35.12716"
"קריית טבעון, ככר בן גוריון  0, קריית טבעון, ישראל",כספומטים,לאומי קרית טבעון,"32.722556,35.130215"
"קריית טבעון, ככר בן גוריון  0, קריית טבעון, ישראל",בנקים,לאומי קרית טבעון,"32.722556,35.130215"
"קריית טבעון, יהודה הנשיא  1, קריית טבעון, ישראל",בנקים,הפועלים קרית טבעון-הנשיא,"32.714759,35.125404"
"קריית טבעון, יהודה הנשיא  1, קריית טבעון, ישראל",כספומטים,הפועלים קרית טבעון-הנשיא,"32.714759,35.125404"
"קריית טבעון, החורש 1, קריית טבעון, ישראל",טיפות חלב,טיפות חלב קרית טבעון,"32.722124,35.13004"
"קריית גת, שדרות לכיש  5, קריית גת, ישראל",כספומטים,ירושלים באר שבע,"31.605447,34.774015"
"קריית גת, שד' לכיש  30, קריית גת, ישראל",בנקים,הפועלים קרית גת,"31.610858,34.772365"
"קריית גת, שד' לכיש  30, קריית גת, ישראל",כספומטים,הפועלים קרית גת,"31.610858,34.772365"
"קריית גת, שד' לכיש  11, קריית גת, ישראל",בנקים,מזרחי קרית גת,"31.607248,34.773242"
"קריית גת, שד' לכיש  11, קריית גת, ישראל",כספומטים,מזרחי קרית גת,"31.607248,34.773242"
"קריית גת, שד מלכי ישראל 178, קריית גת, ישראל",טיפות חלב,טיפות חלב שער דרום,"31.603136,34.757488"
"קריית גת, שד העצמאות 64, קריית גת, ישראל",טיפות חלב,טיפות חלב קרית גת מכבי,"31.609364,34.768486"
"קריית גת, שד העצמאות 30, קריית גת, ישראל",טיפות חלב,טיפות חלב קרית גת מרכז הילד כללית,"31.61142,34.773163"
"קריית גת, שבטי ישראל  24, קריית גת, ישראל",כספומטים,ירושלים באר שבע,"31.617205,34.769721"
"קריית גת, רמות דוד, קריית גת, ישראל",טיפות חלב,טיפות חלב רמות דוד  לאומית,"31.617698,34.753893"
"קריית גת, קרית גת, שד העצמאות 64, ישראל",מרפאות,מכבי מר.רפואי קרית גת-מנהלת,"31.609364,34.768486"
"קריית גת, קרית גת, מיכה 8, ישראל",מרפאות,לאומית קרית גת מיכה,"31.615491,34.759966"
"קריית גת, קרית גת,  16, ישראל",מרפאות,מאוחדת ק.גת דונה נתיבות שלום 16,"31.610472,34.772295"
"קריית גת, קריית גת, שד מלכי ישראל 178, ישראל",מרכולים,שופרסל קרית גת,"31.603136,34.757488"
"קריית גת, קריית גת, הגפן 3, ישראל",מרכולים,ויקטורי קרית גת,"31.607084,34.769775"
"קריית גת, קריית גת, דרך הדרום 3, ישראל",מרכולים,רמי לוי קרית גת,"31.602935,34.771835"
"קריית גת, קריית גת, דרך הדרום 13, ישראל",מרכולים,שוק העיר שוק העיר קרית גת,"31.604398,34.774037"
"קריית גת, קריית גת, דרך הדרום 1, ישראל",מרכולים,מחסני השוק קרית גת,"31.603492,34.771714"
"קריית גת, נתיבות שלום 16, קריית גת, ישראל",טיפות חלב,טיפות חלב רמות דוד מכבי,"31.617974,34.753737"
"קריית גת, נתיבות שלום 16, קריית גת, ישראל",טיפות חלב,טיפות חלב קרית גת מאוחדת,"31.617974,34.753737"
"קריית גת, נתיבות השלום 16, קריית גת, ישראל",טיפות חלב,טיפות חלב רמות דוד כללית,"31.617974,34.753737"
"קריית גת, כיכר פ""ז  3, קריית גת, ישראל",כספומטים,יהב קריית גת,"31.610472,34.772295"
"קריית גת, כיכר פ""ז  3, קריית גת, ישראל",בנקים,יהב קריית גת,"31.610472,34.772295"
"קריית גת, הצורן  10, קריית גת, ישראל",כספומטים,מזרחי מסלקה,"31.610472,34.772295"
"קריית גת, הזית  54, קריית גת, ישראל",בנקים,הבינלאומי קרית גת,"31.605307,34.770792"
"קריית גת, הזית  54, קריית גת, ישראל",כספומטים,הבינלאומי קרית גת,"31.605307,34.770792"
"קריית גת, הגפן 7 קריית גת, ישראל",סניפי דואר,דואר ישראל סניף מרכזי קרית גת,"31.606682,34.770643"
"קריית גת, הגפן  3, קריית גת, ישראל",בנקים,לאומי קרית גת,"31.607084,34.769775"
"קריית גת, הגפן  3, קריית גת, ישראל",כספומטים,דיסקונט קרית גת,"31.607084,34.769775"
"קריית גת, הגפן  3, קריית גת, ישראל",כספומטים,לאומי קרית גת,"31.607084,34.769775"
"קריית גת, הגפן  3, קריית גת, ישראל",בנקים,דיסקונט קרית גת,"31.607084,34.769775"
"קריית ביאליק, שד ירושלים 15 קריית ביאליק, ישראל",סניפי דואר,דואר ישראל היחידה המרכזית קריית ביאליק,"32.803171,35.107855"
"קריית ביאליק, קרן היסוד  64, קריית ביאליק, ישראל",בנקים,לאומי קרית ביאליק,"32.834607,35.088428"
"קריית ביאליק, קרן היסוד  64, קריית ביאליק, ישראל",כספומטים,לאומי קרית ביאליק,"32.834607,35.088428"
"קריית ביאליק, קרית ביאליק, שדרות וייצמן 65, ישראל",מרפאות,כללית הרימונים - קרית ביאליק,"32.819622,35.080474"
"קריית ביאליק, קרית ביאליק, זבולון 11, ישראל",מרפאות,כללית קרית שמריהו,"32.8393,35.088693"
"קריית ביאליק, קרית ביאליק, דרך עכו 22, ישראל",מרפאות,לאומית קרית ביאליק,"32.825433,35.080165"
"קריית ביאליק, קריית ביאליק, מולר הנס 6, ישראל",מרכולים,אושר עד אושר עד קרית ביאליק,"32.861823,35.098291"
"קריית ביאליק, קריית ביאליק, מולר הנס 1, ישראל",מרכולים,אושר עד אושר עד קרית ביאליק,"32.861111,35.097759"
"קריית ביאליק, קריית ביאליק, דרך עכו 192, ישראל",מרכולים,שופרסל דיל קריית ביאליק,"32.843515,35.09077"
"קריית ביאליק, משה גושן  18, קריית ביאליק, ישראל",בנקים,יהב קריית ביאליק,"32.825181,35.076734"
"קריית ביאליק, משה גושן  18, קריית ביאליק, ישראל",כספומטים,יהב קריית ביאליק,"32.825181,35.076734"
"קריית ביאליק, דרך עכו  194, קריית ביאליק, ישראל",כספומטים,דיסקונט קרית ביאליק,"32.846251,35.092269"
"קריית ביאליק, דרך עכו  194, קריית ביאליק, ישראל",כספומטים,מזרחי קריון,"32.846251,35.092269"
"קריית ביאליק, דרך עכו  194, קריית ביאליק, ישראל",בנקים,דיסקונט מרכז עסקים צפון,"32.846251,35.092269"
"קריית ביאליק, דרך עכו  194, קריית ביאליק, ישראל",כספומטים,לאומי מרכז עסקים חיפה,"32.846251,35.092269"
"קריית ביאליק, דרך עכו  194, קריית ביאליק, ישראל",בנקים,לאומי מרכז עסקים חיפה,"32.846251,35.092269"
"קריית ביאליק, דרך עכו  194, קריית ביאליק, ישראל",בנקים,דיסקונט מרכז השקעות צפון,"32.846251,35.092269"
"קריית ביאליק, דרך עכו  194, קריית ביאליק, ישראל",בנקים,דיסקונט קרית ביאליק,"32.846251,35.092269"
"קריית ביאליק, דרך עכו  194, קריית ביאליק, ישראל",בנקים,מזרחי קריון,"32.846251,35.092269"
"קריית ביאליק, דרך עכו  192, קריית ביאליק, ישראל",כספומטים,ירושלים קריון,"32.843515,35.09077"
"קריית ביאליק, דרך עכו  192, קריית ביאליק, ישראל",כספומטים,הפועלים הקריון,"32.843515,35.09077"
"קריית ביאליק, דרך עכו  192, קריית ביאליק, ישראל",בנקים,הבינלאומי קרית ביאליק,"32.843515,35.09077"
"קריית ביאליק, דרך עכו  192, קריית ביאליק, ישראל",כספומטים,הבינלאומי קרית ביאליק,"32.843515,35.09077"
"קריית אתא, קרן היסוד  29, קריית אתא, ישראל",בנקים,לאומי עסקים הקריות,"32.806944,35.0775"
"קריית אתא, קרן היסוד  29, קריית אתא, ישראל",כספומטים,לאומי עסקים הקריות,"32.806944,35.0775"
"קריית אתא, קרית אתא, העצמאות 61, ישראל",מרפאות,מכבי מר.רפואי ק.אתא-מנהלת,"32.806718,35.103864"
"קריית אתא, קרית אתא, העצמאות 107, ישראל",מרפאות,כללית לב הקריה - קריית אתא,"32.811617,35.104477"
"קריית אתא, קרית אתא, בן עמי 4, ישראל",מרפאות,כללית בן עמי - קרית אתא,"32.810358,35.125352"
"קריית אתא, קריית אתא, זבולון 14, ישראל",מרכולים,ויקטורי קריית אתא,"32.805224,35.10196"
"קריית אתא, קריית אתא, זבולון 14, ישראל",מרכולים,שופרסל יש בשכונה,"32.805224,35.10196"
"קריית אתא, קריית אתא, זבולון 14, ישראל",מרכולים,ויקטורי ויקטורי קרית אתא,"32.805224,35.10196"
"קריית אתא, קריית אתא, העצמאות 10, ישראל",מרכולים,קרפור קריית אתא,"32.79917,35.102869"
"קריית אתא, קריית אתא, העצמאות 10, ישראל",מרכולים,קרפור קרפור קרית אתא,"32.79917,35.102869"
"קריית אתא, קריית אתא, דרך חיפה 40, ישראל",מרכולים,שופרסל דיל איקאה,"32.807969,35.07699"
"קריית אתא, קריית אתא, אינשטין 20, ישראל",מרכולים,שופרסל שופרסל שלי,"32.813241,35.115644"
"קריית אתא, קבוץ גלויות, קריית אתא, ישראל",טיפות חלב,טיפות חלב קריית בנימין,"32.802946,35.09299"
"קריית אתא, פינסקר 11, קריית אתא, ישראל",טיפות חלב,טיפות חלב קריית אתא - פינסקר,"32.807919,35.10697"
"קריית אתא, יוספטל 56, קריית אתא, ישראל",טיפות חלב,טיפות חלב יוספטל - קריית אתא,"32.810303,35.114736"
"קריית אתא, זבולון  4, קריית אתא, ישראל",בנקים,מזרחי קרית אתא,"32.805374,35.102732"
"קריית אתא, העצמאות  66, קריית אתא, ישראל",בנקים,לאומי קרית אתא,"32.806825,35.104523"
"קריית אתא, העצמאות  66, קריית אתא, ישראל",כספומטים,לאומי קרית אתא,"32.806825,35.104523"
"קריית אתא, העצמאות  61, קריית אתא, ישראל",בנקים,דיסקונט קרית אתא,"32.806718,35.103864"
"קריית אתא, העצמאות  61, קריית אתא, ישראל",כספומטים,דיסקונט קרית אתא,"32.806718,35.103864"
"קריית אתא, העצמאות  37, קריית אתא, ישראל",כספומטים,ירושלים קריון,"32.803625,35.103228"
"קריית אתא, העצמאות  37, קריית אתא, ישראל",כספומטים,הפועלים קרית אתא,"32.803625,35.103228"
"קריית אתא, העצמאות  37, קריית אתא, ישראל",כספומטים,יהב קרית אתא,"32.803625,35.103228"
"קריית אתא, העצמאות  37, קריית אתא, ישראל",בנקים,יהב קרית אתא,"32.803625,35.103228"
"קריית אתא, העצמאות  37, קריית אתא, ישראל",בנקים,הפועלים קרית אתא,"32.803625,35.103228"
"קריית אתא, המיסדים 1 קריית אתא, ישראל",סניפי דואר,דואר ישראל היחידה המרכזית קרית אתא,"32.805962,35.105776"
"קריית אתא, דרך חיפה  30, קריית אתא, ישראל",בנקים,דיסקונט המפרץ,"32.806216,35.075632"
"קריית אתא, דרך חיפה  30, קריית אתא, ישראל",כספומטים,דיסקונט המפרץ,"32.806216,35.075632"
"קריית ארבע, קרית ארבע, בן יפונה 0, ישראל",מרפאות,מאוחדת קרית ארבע-חברון,"31.756472,35.220607"
"קריית ארבע, כלב בן יפונה  0, קריית ארבע, ישראל",כספומטים,לאומי שלוחת קרית ארבע,"31.529264,35.118344"
"קריית ארבע, כלב בן יפונה  0, קריית ארבע, ישראל",בנקים,לאומי שלוחת קרית ארבע,"31.529264,35.118344"
"קריית ארבע, בנין המרכז הרפואי, קריית ארבע, ישראל",טיפות חלב,טיפות חלב קרית ארבע,"31.952111,34.906551"
"קריית ארבע, בן יפונה 14 קריית ארבע, ישראל",סניפי דואר,דואר ישראל קרית ארבע,"31.756968,35.218802"
"קריית אונו, שלמה המלך 6 קריית אונו, ישראל",סניפי דואר,דואר ישראל סניף קיראון,"32.05381,34.858784"
"קריית אונו, שלמה המלך  38, קריית אונו, ישראל",כספומטים,דיסקונט קיראון,"32.054596,34.863214"
"קריית אונו, שלמה המלך  37, קריית אונו, ישראל",בנקים,הבינלאומי קיראון,"32.055569,34.863279"
"קריית אונו, שלמה המלך  37, קריית אונו, ישראל",כספומטים,הבינלאומי קיראון,"32.055569,34.863279"
"קריית אונו, קרית אונו, שלמה המלך 37, ישראל",מרפאות,כללית קניון קריית אונו,"32.055569,34.863279"
"קריית אונו, קרית אונו, ירושלים 39, ישראל",מרפאות,מכבי מר.רפואי קרית אונו-מנהלת,"32.055482,34.863036"
"קריית אונו, קרית אונו, וולך 31, ישראל",מרפאות,לאומית קרית אונו,"32.060856,34.861654"
"קריית אונו, קריית אונו, שלמה המלך 37, ישראל",מרכולים,קרפור קקפור קרית אונו,"32.055569,34.863279"
"קריית אונו, קניון קרית אונו, קריית אונו, ישראל",טיפות חלב,טיפות חלב קרית אונו ב',"32.054863,34.858858"
"קריית אונו, קניון קרית אונו, קריית אונו, ישראל",טיפות חלב,טיפות חלב קרית אונו,"32.054863,34.858858"
"קריית אונו, לוי אשכול  113, קריית אונו, ישראל",כספומטים,מזרחי קרית אונו,"32.055997,34.86512"
"קריית אונו, לוי אשכול  113, קריית אונו, ישראל",בנקים,מזרחי קרית אונו,"32.055997,34.86512"
"קריית אונו, זיידמן  2, קריית אונו, ישראל",בנקים,לאומי קרית אונו,"32.060907,34.86154"
"קריית אונו, זיידמן  2, קריית אונו, ישראל",כספומטים,לאומי קרית אונו,"32.060907,34.86154"
"קריית אונו, הנשיא  57, קריית אונו, ישראל",בנקים,הפועלים קרית אונו,"32.060487,34.855795"
"קריית אונו, הנשיא  57, קריית אונו, ישראל",כספומטים,הפועלים קרית אונו,"32.060487,34.855795"
"קצרין, קצרין, שיאון 0, ישראל",מרפאות,כללית קצרין,"32.993777,35.690068"
"קצרין, קצרין, דרך החרמון 7, ישראל",מרכולים,שופרסל דיל קצרין,"32.989642,35.698604"
"קצרין, קצרין, דליות 6, ישראל",מרכולים,מחסני השוק קצרין,"32.994394,35.689814"
"קצרין, מרכז מסחרי איתן, קצרין, ישראל",טיפות חלב,טיפות חלב קצרין כללית,"32.990998,35.689865"
"קצרין, זויתן 128, קצרין, ישראל",טיפות חלב,טיפות חלב קצרין מכבי,"32.992702,35.680445"
"קצרין, דליות 6 קצרין, ישראל",סניפי דואר,דואר ישראל היחידה המרכזית קצרין,"32.994394,35.689814"
"קצרין, דליות  6, קצרין, ישראל",כספומטים,לאומי קצרין,"32.994394,35.689814"
"קצרין, דליות  6, קצרין, ישראל",בנקים,לאומי קצרין,"32.994394,35.689814"
"קציר, קציר, קציר, ישראל",טיפות חלב,טיפות חלב קציר,"32.485178,35.10873"
"קלנסווה, רחוב ראשי  0, קלנסווה, ישראל",כספומטים,הפועלים קלנסווה,"32.285458,34.981094"
"קלנסווה, קלנסווה, קלנסווה, ישראל",טיפות חלב,טיפות חלב קלנסווה ב',"32.285458,34.981094"
"קלנסווה, קלנסווה, קלנסווה, ישראל",טיפות חלב,טיפות חלב קלנסווה א',"32.285458,34.981094"
"קלנסווה, קלנסווה, בלאל 0, ישראל",מרפאות,כללית קלנסווה,"32.286208,34.985458"
"קלנסווה, אל קודס  0, קלנסווה, ישראל",כספומטים,לאומי קלנסואה,"32.284007,34.987208"
"קלנסווה, אל קודס  0, קלנסווה, ישראל",בנקים,לאומי קלנסואה,"32.284007,34.987208"
"קלנסווה, אבן רושד קלנסווה, ישראל",סניפי דואר,דואר ישראל קלנסווה,"32.287225,34.976505"
"קיסריה, תרשיש  5, קיסריה, ישראל",כספומטים,לאומי שלוחת אורנית,"32.487681,34.903768"
"קיסריה, שד רוטשילד קיסריה, ישראל",סניפי דואר,דואר ישראל קיסריה,"32.506744,34.90364"
"קיסריה, קיסריה, הדולב 14, ישראל",מרכולים,טיב טעם טיב טעם קיסריה,"32.512785,34.905105"
"קיסריה, מרכז מסחרי  0, קיסריה, ישראל",כספומטים,הפועלים קיסריה,"32.515469,34.90628"
"קיסריה, מרכז מסחרי  0, קיסריה, ישראל",בנקים,הפועלים שלוחת קיסריה,"32.515469,34.90628"
"קיסריה, חלמיש 7 קיסריה, ישראל",סניפי דואר,דואר ישראל פארק תעשיה קיסריה,"32.481915,34.947712"
"קוממיות, ד.ה שדה גת, קוממיות, ישראל",טיפות חלב,טיפות חלב קוממיות,"31.662583,34.7293"
"קדרים, קדרים, קדרים, ישראל",טיפות חלב,טיפות חלב קדרים,"32.898886,35.471565"
"קדמת צבי, קדמת צבי, קדמת צבי, ישראל",טיפות חלב,טיפות חלב קדמת צבי,"33.029485,35.697744"
"קדימה-צורן, קדימה-צורן, קדימה-צורן, ישראל",טיפות חלב,טיפות חלב קדימה,"32.277919,34.911274"
"קדימה-צורן, קדימה-צורן, דרך לב השרון 42, ישראל",מרכולים,שופרסל שופרסל דיל,"32.288035,34.94567"
"קדימה-צורן, המעלית פינת רח' הזרם  6, קדימה-צורן, ישראל",כספומטים,הפועלים קדימה,"32.276248,34.920656"
"קדימה-צורן, המעלית פינת רח' הזרם  6, קדימה-צורן, ישראל",בנקים,הפועלים קדימה,"32.276248,34.920656"
"קדימה-צורן, האופה  1, קדימה-צורן, ישראל",כספומטים,ירושלים נתניה,"32.276251,34.919294"
"קדימה-צורן, דרך לב השרון צורן 41, קדימה-צורן, ישראל",טיפות חלב,טיפות חלב צורן,"32.288022,34.945685"
"קבוצת יבנה, קבוצת יבנה, קבוצת יבנה, ישראל",טיפות חלב,טיפות חלב קבוצת יבנה כללית,"31.816147,34.721905"
"צרופה, ד.נ.חוף הכרמל, צרופה, ישראל",טיפות חלב,טיפות חלב צרופה,"32.647822,34.946455"
"צפת, שכונת כנען, צפת, ישראל",טיפות חלב,טיפות חלב כנען,"32.98162,35.509126"
"צפת, רח' העליה ב'  4, צפת, ישראל",כספומטים,מזרחי צפת,"32.965465,35.4958"
"צפת, רח' העליה ב'  4, צפת, ישראל",בנקים,מזרחי צפת,"32.965465,35.4958"
"צפת, צפת, צה'ל 13, ישראל",מרפאות,מאוחדת צפת מאור חיים,"32.964866,35.492309"
"צפת, צפת, ויצמן 20, ישראל",מרכולים,שופרסל שופרסלדיל,"32.957984,35.497687"
"צפת, צפת, החרמון 1, ישראל",מרכולים,שופרסל שופרסל שלי,"32.962482,35.514672"
"צפת, צפת, הגדוד השלישי 1, ישראל",מרכולים,שופרסל יש חסד שופרסל,"32.972444,35.506376"
"צפת, צפת, גיורא יוספטל 1, ישראל",מרפאות,כללית צפת כנען,"32.9682,35.503158"
"צפת, צפת, ""צה""""ל"" 13, ישראל",מרפאות,לאומית מאור חיים חדש,"32.964866,35.492309"
"צפת, ירושלים  34, צפת, ישראל",כספומטים,הבינלאומי ראש פינה,"32.96981,35.493068"
"צפת, הפלמ""ח 100 צפת, ישראל",סניפי דואר,דואר ישראל היחידה המרכזית צפת,"32.963631,35.497273"
"צפת, העליה ב'  4, צפת, ישראל",כספומטים,דיסקונט צפת,"32.965465,35.4958"
"צפת, העליה ב'  4, צפת, ישראל",בנקים,דיסקונט צפת,"32.965465,35.4958"
"צפת, הגדוד השלישי  39, צפת, ישראל",בנקים,הפועלים צפת,"32.972673,35.505799"
"צפת, הגדוד השלישי  39, צפת, ישראל",כספומטים,הפועלים צפת,"32.972673,35.505799"
"צפת, הגדוד השלישי  2, צפת, ישראל",בנקים,לאומי צפת,"32.972444,35.506376"
"צפת, הגדוד השלישי  2, צפת, ישראל",כספומטים,לאומי צפת,"32.972444,35.506376"
"צנדלה, צנדלה, צנדלה, ישראל",טיפות חלב,טיפות חלב צנדלה,"32.522449,35.32442"
"ציפורי, ד.נ גליל תחתון, ציפורי, ישראל",טיפות חלב,טיפות חלב ציפורי,"32.750175,35.501892"
"צור יצחק, צור יצחק, נחל קנה 9, ישראל",מרכולים,קרפור צור יצחק,"32.241532,34.997412"
"צור יצחק, צור יצחק, נחל איילון 10, ישראל",מרכולים,ויקטורי צור יצחק,"32.240095,34.996971"
"צור יצחק, נחל אלכסנדר  19, צור יצחק, ישראל",כספומטים,ירושלים תל אביב,"32.239429,35.000279"
"צוחר, צוחר,  0, ישראל",מרפאות,כללית מרכז בריאות צוחר,"31.23717,34.426444"
"צוחר, מרכז מסחרי צוחר, ישראל",סניפי דואר,דואר ישראל צוחר,"31.23717,34.426444"
"צאלים, צאלים, צאלים, ישראל",טיפות חלב,טיפות חלב צאלים כללית,"31.203909,34.533359"
"פתח תקווה, שפיגל  3, פתח תקווה, ישראל",כספומטים,מסד פתח תקוה,"32.088109,34.887835"
"פתח תקווה, שפיגל  3, פתח תקווה, ישראל",בנקים,מסד פתח תקוה,"32.088109,34.887835"
"פתח תקווה, שפיגל  3, פתח תקווה, ישראל",בנקים,הבינלאומי שלוחת פתח תקוה,"32.088109,34.887835"
"פתח תקווה, רפאל איתן  3, פתח תקווה, ישראל",כספומטים,הפועלים אם המושבות,"32.10338,34.882182"
"פתח תקווה, רפאל איתן  3, פתח תקווה, ישראל",בנקים,הפועלים אם המושבות,"32.10338,34.882182"
"פתח תקווה, רוטשילד  73, פתח תקווה, ישראל",כספומטים,מזרחי מסלקה,"32.087378,34.881836"
"פתח תקווה, רוטשילד  57, פתח תקווה, ישראל",כספומטים,לאומי מרכז קופות פתח תקוה,"32.089213,34.881157"
"פתח תקווה, רוטשילד  57, פתח תקווה, ישראל",בנקים,לאומי מרכז קופות פתח תקוה,"32.089213,34.881157"
"פתח תקווה, רבין  1, פתח תקווה, ישראל",כספומטים,יהב פתח תקווה,"32.065953,34.863928"
"פתח תקווה, רבין  1, פתח תקווה, ישראל",בנקים,יהב פתח תקווה,"32.065953,34.863928"
"פתח תקווה, רבי עקיבא 13, פתח תקווה, ישראל",טיפות חלב,טיפות חלב כפר אברהם,"32.098771,34.8994"
"פתח תקווה, ראשון לציון  1, פתח תקווה, ישראל",כספומטים,הבינלאומי אם המושבות,"32.099572,34.875681"
"פתח תקווה, ראשון לציון  1, פתח תקווה, ישראל",בנקים,הבינלאומי אם המושבות,"32.099572,34.875681"
"פתח תקווה, פתח תקווה, שפיגל זוסיה 3, ישראל",מרפאות,מכבי מר.רפואי פתח תקוה-מנהלת,"32.088109,34.887835"
"פתח תקווה, פתח תקווה, שטמפפר יהושע 73, ישראל",מרכולים,"קרפור מגה בעיר שטמפפר פ""ת","32.093904,34.890307"
"פתח תקווה, פתח תקווה, רוטשילד 79, ישראל",מרכולים,שופרסל יש בשכונה פתח תקווה,"32.086459,34.882289"
"פתח תקווה, פתח תקווה, רוטשילד 180, ישראל",מרכולים,"שופרסל שופרסל שלי גד מכנס פ""ת","32.076492,34.884689"
"פתח תקווה, פתח תקווה, רוטשילד 171, ישראל",מרפאות,מאוחדת פתח תקווה - רח' רוטשילד 171,"32.076948,34.885492"
"פתח תקווה, פתח תקווה, ראשון לציון 1, ישראל",מרכולים,"חצי חינם חצי חינם פ""ת","32.099572,34.875681"
"פתח תקווה, פתח תקווה, ראשון לציון 1, ישראל",מרפאות,כללית אם המושבות - פתח תקוה,"32.099572,34.875681"
"פתח תקווה, פתח תקווה, קפלן אליעזר 13, ישראל",מרכולים,קרפור קרפור בלינסון,"32.073476,34.786069"
"פתח תקווה, פתח תקווה, פרידמן אלעזר 9, ישראל",מרכולים,"שופרסל שופרסל דיל פ""ת","32.079446,34.9026"
"פתח תקווה, פתח תקווה, עד''ש שפיק 9, ישראל",מרפאות,כללית עמישב - פתח תקוה,"32.084041,34.887762"
"פתח תקווה, פתח תקווה, נחלת צבי 66, ישראל",מרפאות,כללית נחלת צבי - פתח תקוה,"32.094735,34.893925"
"פתח תקווה, פתח תקווה, חיים עוזר 26, ישראל",מרפאות,כללית ברקמן - פתח תקוה,"32.087249,34.886902"
"פתח תקווה, פתח תקווה, הרב פינטו מסעוד 20, ישראל",מרכולים,"קשת טעמים קשת טעמים פ""ת","32.10102,34.895778"
"פתח תקווה, פתח תקווה, הרב פינטו מסעוד 20, ישראל",מרכולים,שופרסל שופרסל אקסטרה,"32.10102,34.895778"
"פתח תקווה, פתח תקווה, הרב פינטו מסעוד 19, ישראל",מרכולים,קשת טעמים קשת טעמים,"32.100184,34.893743"
"פתח תקווה, פתח תקווה, הרב משורר ישעיהו 11, ישראל",מרכולים,"מחסני השוק שירה פ""ת","32.069827,34.906342"
"פתח תקווה, פתח תקווה, העצמאות 65, ישראל",מרכולים,"שופרסל שופרסל פ""ת","32.074364,34.86965"
"פתח תקווה, פתח תקווה, העצמאות 63, ישראל",מרפאות,כללית קניון הכיכר - פתח תקווה,"32.074579,34.870758"
"פתח תקווה, פתח תקווה, הסיבים 37, ישראל",מרכולים,"רמי לוי רמי לוי פ""ת","32.087931,34.856758"
"פתח תקווה, פתח תקווה, המפעלים 9, ישראל",מרכולים,קשת טעמים מרכז משלוחים רובוטי,"32.093238,34.857999"
"פתח תקווה, פתח תקווה, דרך בגין מנחם 96, ישראל",מרכולים,"שוק מהדרין פ""ת שוק מהדרין פתח תקווה","32.069645,34.913693"
"פתח תקווה, פתח תקווה, גליס 30, ישראל",מרכולים,אושר עד אושר עד פתח תקווה,"32.084041,34.887762"
"פתח תקווה, פתח תקווה, גליס 22, ישראל",מרכולים,"יוחננוף יוחננוף פ""ת","32.084041,34.887762"
"פתח תקווה, פתח תקווה, אורלנסקי 8, ישראל",מרפאות,כללית אורלנסקי - פתח תקוה,"32.083095,34.89041"
"פתח תקווה, סלור  22, פתח תקווה, ישראל",בנקים,דיסקונט פתח תקוה,"32.089448,34.884057"
"פתח תקווה, סלור  22, פתח תקווה, ישראל",כספומטים,דיסקונט פתח תקוה,"32.089448,34.884057"
"פתח תקווה, סוטין  4, פתח תקווה, ישראל",כספומטים,לאומי מרכז עסקים אפק,"32.102046,34.894255"
"פתח תקווה, סוטין  4, פתח תקווה, ישראל",בנקים,לאומי מרכז עסקים אפק,"32.102046,34.894255"
"פתח תקווה, נס ציונה 5, פתח תקווה, ישראל",טיפות חלב,טיפות חלב אם המושבות,"32.102418,34.873493"
"פתח תקווה, מנחם בגין  94, פתח תקווה, ישראל",כספומטים,ירושלים המרכז,"32.069767,34.913596"
"פתח תקווה, מנחם בגין  21, פתח תקווה, ישראל",כספומטים,מזרחי מסלקה,"32.077747,34.906377"
"פתח תקווה, ישעיהו משורר 11  11, פתח תקווה, ישראל",כספומטים,הבינלאומי פאגי פתח תקוה,"32.069827,34.906342"
"פתח תקווה, ישעיהו משורר 11  11, פתח תקווה, ישראל",בנקים,הבינלאומי פאגי פתח תקוה,"32.069827,34.906342"
"פתח תקווה, יצחק רבין  1, פתח תקווה, ישראל",כספומטים,לאומי פתח תקוה,"32.065953,34.863928"
"פתח תקווה, יצחק רבין  1, פתח תקווה, ישראל",בנקים,מזרחי גלובל טאוורס,"32.065953,34.863928"
"פתח תקווה, יצחק רבין  1, פתח תקווה, ישראל",בנקים,לאומי עסקים פתח תקווה,"32.065953,34.863928"
"פתח תקווה, יצחק רבין  1, פתח תקווה, ישראל",בנקים,לאומי פתח תקוה,"32.065953,34.863928"
"פתח תקווה, יצחק רבין  1, פתח תקווה, ישראל",כספומטים,מזרחי גלובל טאוורס,"32.065953,34.863928"
"פתח תקווה, יונה גרין  9, פתח תקווה, ישראל",כספומטים,מזרחי מסלקה,"32.098756,34.898195"
"פתח תקווה, יגיע כפיים  17, פתח תקווה, ישראל",בנקים,מזרחי קרית אריה,"32.097492,34.855942"
"פתח תקווה, יגיע כפיים  17, פתח תקווה, ישראל",כספומטים,מזרחי קרית אריה,"32.097492,34.855942"
"פתח תקווה, חיה פיינשטיין  11, פתח תקווה, ישראל",כספומטים,דיסקונט אם המושבות,"32.100168,34.884529"
"פתח תקווה, חיה פיינשטיין  11, פתח תקווה, ישראל",בנקים,דיסקונט אם המושבות,"32.100168,34.884529"
